,id,Barbecue,Breads,Christmas,Desserts,Filipino,Italian,Kid-Friendly,Main Dishes,Spring,Summer,Sunday Lunch
0,Italian-Crescent-Casserole-685397,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
1,One-Pot-Hamburger-Helper-Lasagna-1711656,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
2,Creamy_-Four-Cheese-_-Garlic-Spaghetti-1682822,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
3,Kohlrabi-Risotto-with-Roasted-Tomatoes-and-Pancetta-1711231,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
4,Chicken-Bruschetta-1710258,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
5,Garlic-Lovers_-Spaghetti-1711130,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
6,Carbonara-1712319,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
7,Scallion-Pesto-with-Swiss-Chard-and-Scallops-1711119,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
8,Italian-Sausage-and-Asparagus-Risotto-1700628,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
9,Pea-and-Pesto-Risotto-1704441,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
10,Linguine-With-Parsley-Sauce-1701842,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
11,Spinach-and-Ricotta-Stuffed-Shells-1597834,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
12,One-Pot-Hamburger-Helper-Lasagna-1713060,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
13,Veggie-Lasagna-1702973,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
14,Italian-Stuffed-Bell-Peppers-1685152,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
15,Best-Lasagna-1698933,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
16,Chicken-Bruschetta-Pasta-1621606,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
17,Lasagna-with-a-twist-297336,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
18,Easy-30-Minute-Chicken-Piccata-1701388,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
19,Classic-Lasagna-1629867,0.0,0.0,0.0,0.0,0.0,1,1.0,1,0.0,0.0,0.0
20,Italian-Chicken-Potato-and-Green-Bean-Bake-988992,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,1.0
21,Fettuccine-Alfredo-1684914,0.0,0.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.0
